'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid
'64,'Mike*,'105131370338,'1612645279,'男,'0,'0,'24,'2020-03-21 09:42:45,'能否唱首没离开过,'6806656284151283727,'MS4wLjABAAAAQcn4GvkpNXmAWwEkXLjd2iMtNmVX1cb03AyZd1gALiI
'65,'$,'101286222230,'1123549574,'-,'1,'0,'2020,'2020-03-21 09:42:43,'胖哥你够帅气了，不用刻意喷头发了！[捂脸],'6806656275762970624,'MS4wLjABAAAANrgV18nWNFLHAnFx_q33tiOC8aCgIPv6dUYD5Eu5QJM
'66,'口,'1569756145530408,'dytyzfd2jyt1,'女,'0,'0,'2020,'2020-03-21 09:42:43,'害，18年《起风了》是《加油，你是最棒的！》听了很有感触，那年夏天，真好,'6806656273598545923,'MS4wLjABAAAAJLxdr0LOuPmafIXEQlqGsF_zp73WzHJzS65gZDxydP0Iqp94B20S5NrrLY2nPMyq
'67,'头发仿佛还在??,'101417381483,'1133355672,'男,'0,'0,'13,'2020-03-21 09:42:42,'明天生日希望有人祝福,'6806656275091636232,'MS4wLjABAAAASFF1_4xazbvfhRfe8eQ7iGNuu_K3Unf5WadqvoK_V4M
'68,'海鸥 ????,'65556229533,'lihaiou,'男,'0,'0,'2020,'2020-03-21 09:42:40,'好听,'6806656265193193486,'MS4wLjABAAAArQ9P-Z-2aZRTdiQeB3qb0DITEbEycoPQDRMDXF6Q3AA
'69,'敏先生,'101946906193,'min5080,'男,'0,'0,'32,'2020-03-21 09:42:39,'你们就会这首歌吗 刷的头大,'6806656258033664015,'MS4wLjABAAAAmbOQ8Yac31oDM79Y_TPu9v2V6ktUVcoQTvvpsTUJg_I
'70,'M,'63742882372,'85927090,'-,'0,'0,'2020,'2020-03-21 09:42:37,'你真的好像他 但是你是独一无二的你 他也是独特的他 你们都是宝藏男孩 我都好爱,'6806656255953043470,'MS4wLjABAAAA3tYzX9Kg5aJV8ToAA96XnZztjxWP_rHG4Ig9RbGCcE8
'71,'雨的旋律,'1543367118821998,'ydxl86998,'女,'0,'0,'24,'2020-03-21 09:42:37,'转发[赞],'6806656248219172864,'MS4wLjABAAAAf_t2sXq3DBNE_orX5R1_ptoZkg9_Lc6_DznL-407KSeo6Fb3LtAcHmWjjCl0PKOT
'72,'??,'91986889248,'325542144,'-,'0,'0,'2020,'2020-03-21 09:42:37,'@girl.,'6806656246243409931,'MS4wLjABAAAATr9DxBlGylbc9VNClVG5cYSaT6WCJqUeAFIPMzEAhoA
'73,'小甜酱,'64817336472,'62715103,'女,'0,'0,'2020,'2020-03-21 09:42:37,'@t:,'6806656248835129355,'MS4wLjABAAAAN6sHgdpJpHQ0N1nH-P1dtVVbDkffpsBOjProlFzYVGk
'74,'暗影系渣男,'2651675656986664,'dyhgwhlb8eop,'-,'0,'0,'2020,'2020-03-21 09:42:34,'爱了爱了[色][色][色][玫瑰][玫瑰][玫瑰],'6806656234671194115,'MS4wLjABAAAAGdb9MH4_cnXS_HWOOz2GpfdxfBwNRBK60JIJv5YEAMB-Dm5B2OFt8LWwCh-5CIRA
'75,'爱吃肉的小老虎158,'60590733454,'1335406849,'-,'0,'0,'2020,'2020-03-21 09:42:33,'666666666[666][666][666][666],'6806656233811001348,'MS4wLjABAAAAOVwE3IRHQMYDj52mkx3WyM3BpJzypTUjuWsSH2rGMMU
'76,'心凉,'93520460556,'891651706,'-,'1,'0,'2020,'2020-03-21 09:42:29,'组个乐队吧，真的很好。,'6806656214345351180,'MS4wLjABAAAAoMg2oCYggG8YFA9S2NpcJnvvUwD_N__2juGGaKbRN0Q
'77,'一。,'3188211892094350,'1228607hhh,'男,'2,'0,'18,'2020-03-21 09:42:28,'刚刚忘记开声音了，不小心笑出了声对不起[看],'6806656211451346944,'MS4wLjABAAAAXVYwlG-5Rrs-hw1PaDZfUb2gPoczmRjjcWDcBNZOJV1CZiLlVqLOYD1yCEdme9zB
'78,'依然.,'60939677769,'29516726,'女,'0,'0,'18,'2020-03-21 09:42:27,'@Design°鹤辞,'6806656210247647246,'MS4wLjABAAAAQHem7JvNOVmjszDb8owq2FLhPJzzC9J6Lm7174XSMbE
'79,'花深空,'96663870863,'728915928,'-,'0,'0,'2020,'2020-03-21 09:42:25,'@早境_ @呵呵的作业本 好听[送心],'6806656198843449359,'MS4wLjABAAAArkyLfEJe4hiJ1Gho4J501xZqqTU_JUQafV0A0PjCXLc
'80,'暗影系渣男,'2651675656986664,'dyhgwhlb8eop,'-,'0,'0,'2020,'2020-03-21 09:42:23,'太好听了[色][色][色],'6806656190119198731,'MS4wLjABAAAAGdb9MH4_cnXS_HWOOz2GpfdxfBwNRBK60JIJv5YEAMB-Dm5B2OFt8LWwCh-5CIRA
'81,'孤独,'21293741271,'173761045,'男,'0,'0,'20,'2020-03-21 09:42:22,'这个深沉的声音非常酷，感觉经历了这一痛苦,'6806656187242004487,'MS4wLjABAAAA6i2x2QclDQ9EgiUtYdYOGZKd2vWKNvOALVCgaeWy-zo
'82,'都是幸运的德云??女孩??,'88594377119,'2020aiqinkaixuan,'女,'0,'0,'20,'2020-03-21 09:42:17,'你青筋暴起的样子真迷人！,'6806656162369814531,'MS4wLjABAAAAwunnqmaOllwkSiXGAEStSBnXkQ9z7LXcRy_6uVApf9E
'83,'野泽弥生,'71659890370,'163974950,'男,'0,'0,'23,'2020-03-21 09:42:15,'@三三. 好好听,'6806656159203131400,'MS4wLjABAAAAiP1f4kqWlmIeJA48bXuZ_vuDN0F5-Llqgxfhm1sT5yc
'84,'往事随风,'97082614023,'841024224,'-,'0,'0,'2020,'2020-03-21 09:42:13,'为什么要拍手？？？,'6806656151644864520,'MS4wLjABAAAABVDhh0ZhAIlHzH4xLiR3ZBEHuJrvIQcY6rZLx2U6_cE
'85,'ii,'57883502161,'iiirene,'女,'0,'0,'24,'2020-03-21 09:42:12,'为什么蓝色头发他的头发那么粗,'6806656144019996685,'MS4wLjABAAAAvZNECV8SYvaUUj6S4Thg-9mRP-THq7HiMPv8XW3VgCw
'86,'宝藏男友陈立农,'1983124978273271,'dy32owhw4w8m,'女,'0,'0,'2020,'2020-03-21 09:42:11,'@??七号星,'6806656136910372864,'MS4wLjABAAAAz9hwtw4jiP_-CNOE1A0Zd8QEIw9jZGG4lE9ke3-KedVUrsdk7IbyPQT9yFM0gRS5
'87,'嗝～,'111143760600,'dyt8z91530so,'男,'0,'0,'24,'2020-03-21 09:42:10,'@Panda.,'6806656133999493135,'MS4wLjABAAAA7K0oCXgmO3D-Jd90Ky8jAiszYThZ0S2hSSyzY-2F7jI
'88,'Acting,'61629510716,'109379504,'女,'0,'0,'17,'2020-03-21 09:42:08,'@JIA,'6806656124973088772,'MS4wLjABAAAAVWdFIimmAAJHC762H8ZbsBND4A_IIEBuNmWVBL8Mfz4
'89,'一定要上头,'102290734127,'shubashihedalaji,'男,'0,'0,'28,'2020-03-21 09:42:08,'[泣不成声],'6806656126248337423,'MS4wLjABAAAANiwQIGWdb2Rc9HmnQB0ZChWFqd0VXkp02jCEmOoZfVg
'90,'枝上流萤,'87085869796,'921780612w,'女,'0,'0,'20,'2020-03-21 09:42:05,'曾经，我的痛他看不见,'6806656118291873806,'MS4wLjABAAAAXtS7UNf9f4MBg31Q__nmgG4BvmONEfb8df97FfolGRY
'91,'YUNAE,'93499000113,'1114857348,'-,'0,'0,'2020,'2020-03-21 09:42:04,'为啥我抽了五年烟也抽不出来这种嗓子？,'6806656111752790024,'MS4wLjABAAAAfOW7ooL6krfLIRIDjuDOSsMYTzf8iULjz2f33sShAvo
'92,'潘秀花,'107697085927,'1755342809,'-,'1,'0,'2020,'2020-03-21 09:42:03,'好听,'6806656102651494411,'MS4wLjABAAAAHMn1gcKTQYOtDUQCSD7XCIeP3Y6p5xaIsqnQbxWRHBE
'93,'Threpher,'96664675712,'728779449,'男,'0,'0,'14,'2020-03-21 09:42:03,'精神小伙,'6806656103519469568,'MS4wLjABAAAAvNuBwBWCzXpYm3hducqOlV9LWuVVIrJrooQ0IIDPA_8
'94,'刺猬魔法,'610930601497828,'dyi9mlyva398,'女,'0,'0,'2020,'2020-03-21 09:42:02,'@辞,'6806656099744841728,'MS4wLjABAAAAuUKaR6xsnLczeW4Mxx-wMtzsKfgEXqLFKbNsRwlA_P4
'95,'用户9107640814731,'101097621792,'2093719713,'-,'0,'0,'2020,'2020-03-21 09:42:02,'加油[玫瑰][玫瑰],'6806656095240339467,'MS4wLjABAAAAnqc1CNTLHFM9p2PzP8vYn2-OCzNQzDym91ONyoIBx5Q
'96,'Wy,'61925319401,'79043366,'女,'0,'0,'2020,'2020-03-21 09:41:59,'@笙笙,'6806656088772476936,'MS4wLjABAAAAsOgIaUlZvxRBXnfXM1C5rM2qnISW8i1DcW_whS66QCo
'97,'邹狐,'108144077104,'dyy2i3mtrjap,'-,'0,'0,'2020,'2020-03-21 09:41:57,'迷人的危险，没有第一个视频唱的好吖,'6806656080215687168,'MS4wLjABAAAA_l-pSq3TrXKjs5scfHLKdf6LxEuKvYTYSnYqS_rZRiU
'98,'虐心,'110674571422,'1986621769,'女,'0,'0,'2020,'2020-03-21 09:41:52,'好好听,'6806656058204258319,'MS4wLjABAAAAyxgFLdY9UnurnBcclhwp-bTWi2BrYtN8j55FjhajFko
'99,'一定要上头,'102290734127,'shubashihedalaji,'男,'0,'0,'28,'2020-03-21 09:42:08,'[泣不成声],'6806656126248337423,'MS4wLjABAAAANiwQIGWdb2Rc9HmnQB0ZChWFqd0VXkp02jCEmOoZfVg
'100,'枝上流萤,'87085869796,'921780612w,'女,'0,'0,'20,'2020-03-21 09:42:05,'曾经，我的痛他看不见,'6806656118291873806,'MS4wLjABAAAAXtS7UNf9f4MBg31Q__nmgG4BvmONEfb8df97FfolGRY
'101,'YUNAE,'93499000113,'1114857348,'-,'0,'0,'2020,'2020-03-21 09:42:04,'为啥我抽了五年烟也抽不出来这种嗓子？,'6806656111752790024,'MS4wLjABAAAAfOW7ooL6krfLIRIDjuDOSsMYTzf8iULjz2f33sShAvo
'102,'潘秀花,'107697085927,'1755342809,'-,'1,'0,'2020,'2020-03-21 09:42:03,'好听,'6806656102651494411,'MS4wLjABAAAAHMn1gcKTQYOtDUQCSD7XCIeP3Y6p5xaIsqnQbxWRHBE
'103,'Threpher,'96664675712,'728779449,'男,'0,'0,'14,'2020-03-21 09:42:03,'精神小伙,'6806656103519469568,'MS4wLjABAAAAvNuBwBWCzXpYm3hducqOlV9LWuVVIrJrooQ0IIDPA_8
'104,'刺猬魔法,'610930601497828,'dyi9mlyva398,'女,'0,'0,'2020,'2020-03-21 09:42:02,'@辞,'6806656099744841728,'MS4wLjABAAAAuUKaR6xsnLczeW4Mxx-wMtzsKfgEXqLFKbNsRwlA_P4
