'序号,'评论人,'UID,'抖音号,'性别↓,'获赞数↓,'子评数↓,'年龄↓,'评论时间↓,'评论详情,'cid,'sec_uid,'????,'??????,'UID,'??????,'??????,'????????,'????????,'??????,'??????????,'????????,'cid,'sec_uid
'35,'半塘,'3280555949432957,'dypf0on50p7e,'女,'1,'0,'13,'2020-03-22 01:07:20,'我刚才在吃饭，你说这个,'6806894548758249479,'MS4wLjABAAAAu56Em5Mc-aIrB3xhztSBiCpFCdrchb6EdHZPE1CCKNaJ4DIlf9QLSID-_F-_NDCK,'35,'????,'3280555949432957,'dypf0on50p7e,'??,'1,'0,'13,'2020-03-22 01:07:20,'??????????????????????,'6806894548758249479,'MS4wLjABAAAAu56Em5Mc-aIrB3xhztSBiCpFCdrchb6EdHZPE1CCKNaJ4DIlf9QLSID-_F-_NDCK
'36,'半顆糖゛,'97949124718,'895111599,'-,'1,'0,'2020,'2020-03-22 01:07:12,'加油，奥利给。,'6806894516969226253,'MS4wLjABAAAAhGVv_AzyZR_BqCVjuA_bQSrWoJ_iRFv-yEwgdsAEXgQ,'36,'???w???a,'97949124718,'895111599,'-,'1,'0,'2020,'2020-03-22 01:07:12,'??????????????,'6806894516969226253,'MS4wLjABAAAAhGVv_AzyZR_BqCVjuA_bQSrWoJ_iRFv-yEwgdsAEXgQ
'37,'丑蛋,'109409435725,'dy7ucr83nfqm,'-,'0,'0,'2020,'2020-03-22 01:07:10,'[捂脸][捂脸][捂脸][捂脸][捂脸],'6806894507775918087,'MS4wLjABAAAAd1a517V-FZzaDpuMgUAIQ8CYg2VOAU6ZfSNQhBNin8c,'37,'????,'109409435725,'dy7ucr83nfqm,'-,'0,'0,'2020,'2020-03-22 01:07:10,'[????][????][????][????][????],'6806894507775918087,'MS4wLjABAAAAd1a517V-FZzaDpuMgUAIQ8CYg2VOAU6ZfSNQhBNin8c
'38,'おはよ俺,'109248393193,'2021516923,'女,'0,'0,'2020,'2020-03-22 01:07:04,'大叔，加油哦,'6806894475449761803,'MS4wLjABAAAAjWddfmN1UqHLxmkCNcgxKYyP1-5jMfhw9VxnZoQzMWo,'38,'????????,'109248393193,'2021516923,'??,'0,'0,'2020,'2020-03-22 01:07:04,'????????????,'6806894475449761803,'MS4wLjABAAAAjWddfmN1UqHLxmkCNcgxKYyP1-5jMfhw9VxnZoQzMWo
'39,'用户7193445557863,'435012462185683,'dyaogk5r6kuy,'-,'0,'1,'2020,'2020-03-22 01:06:50,'你好像个傻子,'6806894419024314368,'MS4wLjABAAAAoJd_8yy3kWuUhtzMKIZsXWtQfkfP4nOuhrgrHz9fugA,'39,'????7193445557863,'435012462185683,'dyaogk5r6kuy,'-,'0,'1,'2020,'2020-03-22 01:06:50,'????????????,'6806894419024314368,'MS4wLjABAAAAoJd_8yy3kWuUhtzMKIZsXWtQfkfP4nOuhrgrHz9fugA
'40,'屎尿屁??,'2598896653578980,'dyfzgvshgfyf,'-,'0,'0,'2020,'2020-03-22 01:06:42,'我知道你是很可怜的，不用再装了。,'6806894385339777032,'MS4wLjABAAAAKLAK8eAzP5lVnH44i-QDwgomMtc54Kdmfb25QUIv4jCJJl54uj-KYBkxjYWxarYP,'40,'????????,'2598896653578980,'dyfzgvshgfyf,'-,'0,'0,'2020,'2020-03-22 01:06:42,'????????????????????????????????,'6806894385339777032,'MS4wLjABAAAAKLAK8eAzP5lVnH44i-QDwgomMtc54Kdmfb25QUIv4jCJJl54uj-KYBkxjYWxarYP
'41,'旧、梦,'3526842774726920,'dyfujkipou0x,'-,'0,'0,'2020,'2020-03-22 01:06:35,'生活不易，奥利给!,'6806894346886545411,'MS4wLjABAAAArvKhi7DK5tD3N5X4eoO9akGi7Vq3iZy7bD9XI1eopZh1ywUvneMrV8h2r-5m9cFi,'41,'??????,'3526842774726920,'dyfujkipou0x,'-,'0,'0,'2020,'2020-03-22 01:06:35,'????????????????!,'6806894346886545411,'MS4wLjABAAAArvKhi7DK5tD3N5X4eoO9akGi7Vq3iZy7bD9XI1eopZh1ywUvneMrV8h2r-5m9cFi
'42,'黑衣军、慕炫,'786870810720132,'dyakc5ea1y34,'女,'0,'0,'45,'2020-03-22 01:06:24,'怎么不戴口罩,'6806894300656582659,'MS4wLjABAAAAqxqx3205h3XV_cBEj_u_Ibf5MDasxjlFvo3B5bb52_0,'42,'????????????,'786870810720132,'dyakc5ea1y34,'??,'0,'0,'45,'2020-03-22 01:06:24,'????????????,'6806894300656582659,'MS4wLjABAAAAqxqx3205h3XV_cBEj_u_Ibf5MDasxjlFvo3B5bb52_0
'43,'小夫,'98018568270,'dyk4ertsfxa7,'女,'0,'0,'21,'2020-03-22 01:06:15,'大叔加油,'6806894271997050893,'MS4wLjABAAAAzGTpOiH5U1683EsDWrZHKrXriqBYlN5f0ZLd3QWqBU4,'43,'????,'98018568270,'dyk4ertsfxa7,'??,'0,'0,'21,'2020-03-22 01:06:15,'????????,'6806894271997050893,'MS4wLjABAAAAzGTpOiH5U1683EsDWrZHKrXriqBYlN5f0ZLd3QWqBU4
'44,'?? ? ?? ?,'2383337902321112,'dy69hqd3m5jg,'女,'2,'0,'13,'2020-03-22 01:06:14,'奥利给[黑脸],'6806894260836171776,'MS4wLjABAAAACdp7ffdq6ulh3CvEHOgZOgtdb2MF20TCYhZMtoFGzbLm-iyK5QsB7Leo3lHO_yRT,'44,'?? ? ?? ?,'2383337902321112,'dy69hqd3m5jg,'??,'2,'0,'13,'2020-03-22 01:06:14,'??????[????],'6806894260836171776,'MS4wLjABAAAACdp7ffdq6ulh3CvEHOgZOgtdb2MF20TCYhZMtoFGzbLm-iyK5QsB7Leo3lHO_yRT
'45,'迷你世界??皮皮,'66867775618,'1342179160,'女,'0,'0,'2020,'2020-03-22 01:05:33,'[泪奔],'6806894082326478852,'MS4wLjABAAAAzMYCuEGOtStVvD9pJtxPyxzhY1qb8a7CyM4e2zVsE7E,'45,'??????????????,'66867775618,'1342179160,'??,'0,'0,'2020,'2020-03-22 01:05:33,'[????],'6806894082326478852,'MS4wLjABAAAAzMYCuEGOtStVvD9pJtxPyxzhY1qb8a7CyM4e2zVsE7E
'46,'用户6896960033197,'3619227810398524,'dy4ey2p7z0ha,'-,'0,'0,'2020,'2020-03-22 01:05:27,'[害羞][灵光一闪][灵光一闪],'6806894066396708871,'MS4wLjABAAAAkGYczcbROZdtFKU4sk1LS5X-u0s70WmqrFmcoUBkl8HVVMVJrIY-cFen0GYgpgzR,'46,'????6896960033197,'3619227810398524,'dy4ey2p7z0ha,'-,'0,'0,'2020,'2020-03-22 01:05:27,'[????][????????][????????],'6806894066396708871,'MS4wLjABAAAAkGYczcbROZdtFKU4sk1LS5X-u0s70WmqrFmcoUBkl8HVVMVJrIY-cFen0GYgpgzR
'47,'我是你的小宝贝,'2031491377542487,'dyaqde1p7fzg,'女,'0,'0,'2020,'2020-03-22 01:05:20,'我看到你我就害怕，因为……，在迷你世界上玩了奥利给的地图，吓死我了[黑脸],'6806894034994036744,'MS4wLjABAAAAu6nQJp9lF3fKwjlE6ewbPRsUCbPz8FUIEboVSsUbRoEuQUswqKzR8w4xcmZdcOlP,'47,'??????????????,'2031491377542487,'dyaqde1p7fzg,'??,'0,'0,'2020,'2020-03-22 01:05:20,'??????????????????????????????????????????????????????????????????[????],'6806894034994036744,'MS4wLjABAAAAu6nQJp9lF3fKwjlE6ewbPRsUCbPz8FUIEboVSsUbRoEuQUswqKzR8w4xcmZdcOlP
'48,'已重置,'106545786582,'1725306317,'女,'0,'0,'2020,'2020-03-22 01:05:19,'说一声，加油奥特曼。,'6806894023522320395,'MS4wLjABAAAA_F1X8xlNwlApxIEgwL4pgyT145LfSWMv0QpSg-nFc2Y,'48,'??????,'106545786582,'1725306317,'??,'0,'0,'2020,'2020-03-22 01:05:19,'????????????????????,'6806894023522320395,'MS4wLjABAAAA_F1X8xlNwlApxIEgwL4pgyT145LfSWMv0QpSg-nFc2Y
'49,'用户8321976461790,'2220663605303315,'dydlsk4pqu0t,'-,'0,'0,'2020,'2020-03-22 01:05:18,'我梦里都梦到了你的这张脸。,'6806894022536462336,'MS4wLjABAAAA8q7dazF0P-qh2w7gidLIewmGlCtCPUeJDS7439euOjjLSRv9SMMVKKZIICudr06e,'49,'????8321976461790,'2220663605303315,'dydlsk4pqu0t,'-,'0,'0,'2020,'2020-03-22 01:05:18,'??????????????????????????,'6806894022536462336,'MS4wLjABAAAA8q7dazF0P-qh2w7gidLIewmGlCtCPUeJDS7439euOjjLSRv9SMMVKKZIICudr06e
'50,'用户6366159985703,'1789636025002619,'dy06gpl9u50j,'-,'1,'0,'2020,'2020-03-22 01:05:14,'奥利给,'6806894004991688704,'MS4wLjABAAAAV6oXNxGMTo_paxUgjnYEmj6hBOrqW9NT2cslaqQh6le_xL535UfW3Ztpi2Mk7CZ_,'50,'????6366159985703,'1789636025002619,'dy06gpl9u50j,'-,'1,'0,'2020,'2020-03-22 01:05:14,'??????,'6806894004991688704,'MS4wLjABAAAAV6oXNxGMTo_paxUgjnYEmj6hBOrqW9NT2cslaqQh6le_xL535UfW3Ztpi2Mk7CZ_
'51,'用户8709323562856,'2220666407370508,'dy17kbmiu7kc,'-,'1,'0,'2020,'2020-03-22 01:04:48,'加油你的生活不容易。,'6806893889694793739,'MS4wLjABAAAAZxBE48XFFcfUn9sGSDpUElsf6HVz2zEV09ifyR3WFdnKGp60ukmfxWTO6TsIX2YC,'51,'????8709323562856,'2220666407370508,'dy17kbmiu7kc,'-,'1,'0,'2020,'2020-03-22 01:04:48,'????????????????????,'6806893889694793739,'MS4wLjABAAAAZxBE48XFFcfUn9sGSDpUElsf6HVz2zEV09ifyR3WFdnKGp60ukmfxWTO6TsIX2YC
